eval_step,val_iou,val_hau,val_dice,val_acc,val_lm,val_pres,val_ty
0.0,,12.226616416789579,0.05029171215493053,0.6672393543984048,0.02462602961022009,0.3447052165831073,0.9781249788970121
1.0,,9.760012510615837,0.044816975918342994,0.8654357973867268,0.028323519226669456,0.10310959108900328,0.9775764178649026
2.0,,7.522969197384126,0.02417637353320268,0.9580054870478045,0.04042404186810757,0.021860117690830072,0.9775885042427539
3.0,,6.381053700549422,0.0023072426463304073,0.9750180493316968,0.003380678092893299,0.0018838411958180487,0.977102719950543
4.0,,6.741631513887798,0.005806653839164974,0.9652755832871215,0.008968772969927645,0.005394796715625503,0.9770001100244896
5.0,,8.108168622629353,0.03218374998290034,0.9156859523319251,0.025781265150754577,0.06497397507205861,0.9773718087510068
6.0,,8.854050542255012,0.018927107109992458,0.9017821692225827,0.014896156948094631,0.0416757159520433,0.9764097550775725
7.0,,6.493483558149754,0.012608177348101608,0.9449214417650703,0.011659642519013066,0.01886071705310347,0.9767857150517847
8.0,,6.431866261767905,0.0174544718481607,0.9484177113574829,0.017870124175975846,0.024108117212996272,0.9770114139104131
9.0,,6.381082308034888,0.005778254352201346,0.9680595318310444,0.009429170790088558,0.005742139594325788,0.9770415880081023
10.0,,6.347136576038409,0.009781917669422635,0.9630303432647768,0.01924499682777457,0.007604506639198483,0.9770522648204031
11.0,,6.843065416554866,0.008843495944566855,0.9592024259626989,0.010235205192318029,0.009581310177840483,0.9769689364462335
12.0,,6.393256210943305,0.013786445225909374,0.9485536706721358,0.012124657425392968,0.023249393232542943,0.9769075493245896
13.0,,9.365901658454744,0.01764261557744403,0.8904317644792209,0.013225257160550915,0.03793337883959699,0.9761672689583923
14.0,,6.428169421463389,0.011783002985831749,0.9608145695887427,0.012275667471903763,0.014583190721893695,0.9771096822401533
15.0,,8.784152990170977,0.02797658112884281,0.89997745904146,0.022808228401226566,0.054679938530433306,0.9767702161167645
16.0,,7.5728790272054205,0.018004906519045884,0.9352978923375521,0.016209464941659733,0.024302403893597564,0.9768472207630163
17.0,,6.555208221745475,0.010344196106495753,0.9584404421748596,0.01031338264195452,0.014314229865146015,0.9769952137002734
18.0,,6.3784191065060005,0.008874745138015595,0.9626909228107873,0.00984058835353275,0.011120386071217325,0.9770134684505039
19.0,,6.471622501980259,0.003971219207386009,0.9686781658260208,0.006707885206890181,0.003475114781881301,0.9770128017837605
20.0,,6.859160731885933,0.01772304672573443,0.9367794283745432,0.014508501739727994,0.0319412454106368,0.9768664510093773
21.0,,7.503338521559807,0.027583473253041765,0.9145345667956516,0.021766956963745244,0.060222208273413354,0.9771018362354087
22.0,,6.506364559882188,0.004446200203262375,0.9574686898567979,0.005690380201751942,0.0036468255656960484,0.9767805240044546
23.0,,6.475210002565737,0.012399885289187387,0.9557178154867725,0.01233470283117666,0.018643851534375297,0.9770232650083345
24.0,,6.428185175498576,0.006630316890861443,0.9642524480321959,0.00874686152706677,0.005452567418502563,0.976990212699689
25.0,,6.536120655702659,0.0033756958366365814,0.9662245907713823,0.006050069429142663,0.0024983970969151155,0.976964359466989
